Customer_Name,Address,Bill_ID,Billing_Month,Area,Feeder_Type,Loadshedding_Hours_Per_Day,Units_Billed_kWh,Units_Consumed_kWh,Bill_Amount_PKR,Bill_Payment_Status,Electricity_Theft_Suspected
Farah Chandio,"House #30, Street #50, University Colony Nawabshah",KE-UCN-202405-0082,2024-05,University Colony Nawabshah,Urban Residential Feeder,5.7,68.4,67.2,2210,Paid,No
Shabana Jamali,"House #292, Gali #31, Society Colony Nawabshah",KE-SCN-202309-0044,2023-09,Society Colony Nawabshah,Urban Residential Feeder,2.6,78.3,79.6,2560,Paid,No
Salman Junejo,"House #281, Lane #42, Isharpura Nawabshah",KE-ISN-202510-0168,2025-10,Isharpura Nawabshah,Rural Feeder,9.9,36.6,48.3,1210,Unpaid,Yes
Ghulam Jamali,"House #130, Street #5, Society Colony Nawabshah",KE-SCN-202503-0134,2025-03,Society Colony Nawabshah,Urban Residential Feeder,1.7,116.9,119.4,4000,Paid,No
Talha Chachar,"House #394, Chowk #3, Isharpura Nawabshah",KE-ISN-202303-0013,2023-03,Isharpura Nawabshah,Rural Feeder,6.7,42.1,41.7,1220,Unpaid,No
Shahzad Soomro,"House #442, Road #15, Society Colony Nawabshah",KE-SCN-202404-0078,2024-04,Society Colony Nawabshah,Urban Residential Feeder,2.7,101.9,101.1,3220,Paid,No
Amna Ansari,"House #336, Street #1, Gareebabad Nawabshah",KE-GBN-202505-0144,2025-05,Gareebabad Nawabshah,Low-Income Residential Feeder,8.5,44.9,44.2,1510,Unpaid,No
Yasmin Ali,"House #138, Mohalla #32, Manwabad Nawabshah",KE-MWN-202301-0004,2023-01,Manwabad Nawabshah,Semi-Urban Feeder,6.3,86.2,88.7,2540,Paid,No
Nadia Sethar,"House #256, Street #13, Manwabad Nawabshah",KE-MWN-202312-0058,2023-12,Manwabad Nawabshah,Semi-Urban Feeder,3.8,87.9,85.9,2520,Paid,No
Saba Memon,"House #32, Chowk #17, Gareebabad Nawabshah",KE-GBN-202503-0131,2025-03,Gareebabad Nawabshah,Low-Income Residential Feeder,8.0,57.1,93.6,1650,Paid,Yes
Rashid Soomro,"House #349, Road #47, Gareebabad Nawabshah",KE-GBN-202410-0109,2024-10,Gareebabad Nawabshah,Low-Income Residential Feeder,7.4,51.4,53.3,1600,Paid,No
Abdul Jamali,"House #377, Street #47, Farsi Bagh Nawabshah",KE-FBN-202303-0014,2023-03,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.6,149.1,149.4,4910,Paid,No
Nida Malik,"House #281, Block #39, Manwabad Nawabshah",KE-MWN-202311-0054,2023-11,Manwabad Nawabshah,Semi-Urban Feeder,6.7,48.1,49.9,1660,Paid,No
Waqas Malik,"House #297, Lane #43, Manwabad Nawabshah",KE-MWN-202503-0134,2025-03,Manwabad Nawabshah,Semi-Urban Feeder,6.3,89.4,93.3,2880,Paid,No
Nadia Malik,"House #5, Street #32, Manwabad Nawabshah",KE-MWN-202405-0081,2024-05,Manwabad Nawabshah,Semi-Urban Feeder,10.1,85.5,84.0,2910,Paid,No
Sadia Panhwar,"House #55, Road #42, Gareebabad Nawabshah",KE-GBN-202403-0071,2024-03,Gareebabad Nawabshah,Low-Income Residential Feeder,7.7,67.0,67.3,2000,Partially Paid,No
Salman Solangi,"House #286, Road #7, Farsi Bagh Nawabshah",KE-FBN-202301-0002,2023-01,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.5,86.1,84.7,2750,Paid,No
Adnan Bhutto,"House #72, Chowk #44, Isharpura Nawabshah",KE-ISN-202505-0142,2025-05,Isharpura Nawabshah,Rural Feeder,14,59.3,58.1,1730,Paid,No
Zainab Marri,"House #308, Gali #17, Farsi Bagh Nawabshah",KE-FBN-202302-0006,2023-02,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.6,123.3,120.1,3840,Paid,No
Imran Bhurgri,"House #122, Chowk #1, Society Colony Nawabshah",KE-SCN-202404-0079,2024-04,Society Colony Nawabshah,Urban Residential Feeder,3.5,118.2,116.1,3440,Paid,No
Noman Bijarani,"House #370, Street #41, Isharpura Nawabshah",KE-ISN-202308-0036,2023-08,Isharpura Nawabshah,Rural Feeder,13.9,64.0,62.5,1880,Paid,No
Sadia Chandio,"House #193, Street #47, Society Colony Nawabshah",KE-SCN-202406-0086,2024-06,Society Colony Nawabshah,Urban Residential Feeder,4.6,79.9,78.1,2700,Paid,No
Junaid Memon,"House #54, Mohalla #12, Manwabad Nawabshah",KE-MWN-202310-0047,2023-10,Manwabad Nawabshah,Semi-Urban Feeder,4.6,61.5,60.5,2060,Paid,No
Yasir Larik,"House #323, Gali #37, Isharpura Nawabshah",KE-ISN-202409-0101,2024-09,Isharpura Nawabshah,Rural Feeder,9.6,49.5,48.7,1480,Unpaid,No
Hassan Khan,"House #296, Gali #10, Society Colony Nawabshah",KE-SCN-202507-0155,2025-07,Society Colony Nawabshah,Urban Residential Feeder,4.5,138.3,139.1,4480,Paid,No
Haris Rajput,"House #67, Chowk #44, University Colony Nawabshah",KE-UCN-202311-0051,2023-11,University Colony Nawabshah,Urban Residential Feeder,3.1,84.3,87.2,2590,Unpaid,No
Shoaib Chachar,"House #247, Mohalla #4, Society Colony Nawabshah",KE-SCN-202505-0142,2025-05,Society Colony Nawabshah,Urban Residential Feeder,3.6,125.3,128.7,3730,Paid,No
Maryam Shah,"House #48, Lane #14, Isharpura Nawabshah",KE-ISN-202511-0173,2025-11,Isharpura Nawabshah,Rural Feeder,9.5,34.5,35.3,1100,Unpaid,No
Kashif Sheikh,"House #376, Gali #21, Isharpura Nawabshah",KE-ISN-202402-0066,2024-02,Isharpura Nawabshah,Rural Feeder,6.6,45.8,46.4,1370,Paid,No
Robina Khaskheli,"House #75, Street #3, University Colony Nawabshah",KE-UCN-202404-0079,2024-04,University Colony Nawabshah,Urban Residential Feeder,2.9,136.9,138.9,4240,Paid,No
Shoaib Soomro,"House #95, Street #48, University Colony Nawabshah",KE-UCN-202504-0138,2025-04,University Colony Nawabshah,Urban Residential Feeder,2.4,152.3,154.0,4380,Paid,No
Sobia Malik,"House #123, Street #32, Gareebabad Nawabshah",KE-GBN-202409-0103,2024-09,Gareebabad Nawabshah,Low-Income Residential Feeder,7.9,36.4,36.6,1090,Partially Paid,No
Abdul Sheikh,"House #409, Road #15, Society Colony Nawabshah",KE-SCN-202312-0056,2023-12,Society Colony Nawabshah,Urban Residential Feeder,2.9,61.5,64.1,2070,Paid,No
Zainab Siddiqui,"House #301, Road #29, Manwabad Nawabshah",KE-MWN-202301-0002,2023-01,Manwabad Nawabshah,Semi-Urban Feeder,3.8,55.3,57.0,1560,Unpaid,No
Iqra Khan,"House #13, Road #15, Farsi Bagh Nawabshah",KE-FBN-202310-0046,2023-10,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.2,102.8,102.2,2890,Paid,No
Kamran Rajput,"House #234, Gali #12, Isharpura Nawabshah",KE-ISN-202307-0032,2023-07,Isharpura Nawabshah,Rural Feeder,14,37.9,38.8,1150,Unpaid,No
Shabana Baloch,"House #371, Gali #20, University Colony Nawabshah",KE-UCN-202403-0075,2024-03,University Colony Nawabshah,Urban Residential Feeder,2.6,81.7,81.9,2510,Partially Paid,No
Iqra Jatoi,"House #53, Street #24, Society Colony Nawabshah",KE-SCN-202501-0125,2025-01,Society Colony Nawabshah,Urban Residential Feeder,2.3,109.2,106.1,3750,Paid,No
Adnan Mahar,"House #428, Chowk #34, Manwabad Nawabshah",KE-MWN-202412-0119,2024-12,Manwabad Nawabshah,Semi-Urban Feeder,3.4,62.3,64.9,1950,Unpaid,No
Fahad Rind,"House #190, Lane #16, Isharpura Nawabshah",KE-ISN-202503-0135,2025-03,Isharpura Nawabshah,Rural Feeder,9.8,29.8,50.6,1000,Unpaid,Yes
Iqra Khan,"House #250, Lane #1, Isharpura Nawabshah",KE-ISN-202312-0056,2023-12,Isharpura Nawabshah,Rural Feeder,6.5,31.4,30.5,880,Paid,No
Amna Memon,"House #236, Gali #31, Manwabad Nawabshah",KE-MWN-202405-0082,2024-05,Manwabad Nawabshah,Semi-Urban Feeder,9.0,74.0,74.9,2510,Paid,No
Aamir Pathan,"House #188, Lane #23, Manwabad Nawabshah",KE-MWN-202306-0027,2023-06,Manwabad Nawabshah,Semi-Urban Feeder,5.3,100.4,103.6,2990,Partially Paid,No
Junaid Jatoi,"House #316, Gali #50, Isharpura Nawabshah",KE-ISN-202305-0024,2023-05,Isharpura Nawabshah,Rural Feeder,11.0,26.1,25.4,860,Partially Paid,No
Rukhsana Jamali,"House #189, Block #15, Manwabad Nawabshah",KE-MWN-202404-0078,2024-04,Manwabad Nawabshah,Semi-Urban Feeder,5.7,81.1,79.9,2700,Paid,No
Robina Malik,"House #265, Gali #50, University Colony Nawabshah",KE-UCN-202303-0013,2023-03,University Colony Nawabshah,Urban Residential Feeder,2.8,99.8,103.9,3310,Unpaid,No
Maryam Bhurgri,"House #341, Lane #2, Gareebabad Nawabshah",KE-GBN-202502-0129,2025-02,Gareebabad Nawabshah,Low-Income Residential Feeder,6.0,45.9,47.6,1580,Partially Paid,No
Usman Shah,"House #180, Road #36, Society Colony Nawabshah",KE-SCN-202507-0151,2025-07,Society Colony Nawabshah,Urban Residential Feeder,5.0,84.6,84.0,2480,Partially Paid,No
Sana Ali,"House #158, Block #37, Manwabad Nawabshah",KE-MWN-202510-0170,2025-10,Manwabad Nawabshah,Semi-Urban Feeder,6.5,45.5,44.7,1450,Paid,No
Samina Khaskheli,"House #371, Block #22, Manwabad Nawabshah",KE-MWN-202308-0040,2023-08,Manwabad Nawabshah,Semi-Urban Feeder,10.8,91.1,95.3,2850,Paid,No
Hina Memon,"House #223, Mohalla #18, Isharpura Nawabshah",KE-ISN-202309-0044,2023-09,Isharpura Nawabshah,Rural Feeder,7.7,27.0,27.2,930,Paid,No
Fatima Malik,"House #154, Gali #9, Manwabad Nawabshah",KE-MWN-202310-0046,2023-10,Manwabad Nawabshah,Semi-Urban Feeder,7.5,45.7,44.6,1590,Paid,No
Kamran Panhwar,"House #119, Road #33, University Colony Nawabshah",KE-UCN-202304-0019,2023-04,University Colony Nawabshah,Urban Residential Feeder,2.2,67.3,66.0,2200,Paid,No
Junaid Ali,"House #300, Block #35, Isharpura Nawabshah",KE-ISN-202504-0140,2025-04,Isharpura Nawabshah,Rural Feeder,11.7,31.7,31.2,890,Partially Paid,No
Yasir Jamali,"House #277, Chowk #40, University Colony Nawabshah",KE-UCN-202409-0103,2024-09,University Colony Nawabshah,Urban Residential Feeder,3.5,109.1,110.9,3750,Paid,No
Farhan Pathan,"House #219, Chowk #21, Farsi Bagh Nawabshah",KE-FBN-202512-0177,2025-12,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.7,191.5,198.4,5700,Partially Paid,No
Bilal Baloch,"House #322, Lane #26, University Colony Nawabshah",KE-UCN-202502-0128,2025-02,University Colony Nawabshah,Urban Residential Feeder,3.7,93.6,93.1,2630,Paid,No
Amna Khaskheli,"House #319, Gali #42, Farsi Bagh Nawabshah",KE-FBN-202312-0057,2023-12,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.6,111.2,107.9,3700,Paid,No
Nadia Solangi,"House #262, Street #12, University Colony Nawabshah",KE-UCN-202411-0115,2024-11,University Colony Nawabshah,Urban Residential Feeder,4.3,82.0,80.5,2780,Paid,No
Imran Larik,"House #359, Street #34, Farsi Bagh Nawabshah",KE-FBN-202508-0158,2025-08,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.5,161.0,157.8,5560,Paid,No
Shazia Pathan,"House #440, Mohalla #47, Farsi Bagh Nawabshah",KE-FBN-202305-0023,2023-05,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.6,158.0,160.3,4740,Partially Paid,No
Usman Abbasi,"House #206, Gali #28, Isharpura Nawabshah",KE-ISN-202306-0026,2023-06,Isharpura Nawabshah,Rural Feeder,14,47.0,90.2,1370,Paid,Yes
Sikandar Ali,"House #67, Street #18, Society Colony Nawabshah",KE-SCN-202510-0170,2025-10,Society Colony Nawabshah,Urban Residential Feeder,2.5,63.9,63.0,1820,Paid,No
Sadia Siddiqui,"House #216, Chowk #31, Gareebabad Nawabshah",KE-GBN-202501-0122,2025-01,Gareebabad Nawabshah,Low-Income Residential Feeder,6.5,59.7,101.6,2020,Paid,Yes
Rabia Larik,"House #14, Lane #41, Society Colony Nawabshah",KE-SCN-202407-0092,2024-07,Society Colony Nawabshah,Urban Residential Feeder,3.3,121.4,126.8,3680,Paid,No
Yasir Qureshi,"House #249, Gali #4, Manwabad Nawabshah",KE-MWN-202309-0044,2023-09,Manwabad Nawabshah,Semi-Urban Feeder,8.0,87.8,85.5,2560,Paid,No
Zeeshan Soomro,"House #409, Chowk #27, Isharpura Nawabshah",KE-ISN-202309-0042,2023-09,Isharpura Nawabshah,Rural Feeder,8.6,42.8,84.9,1340,Partially Paid,Yes
Uzma Rind,"House #34, Road #27, Isharpura Nawabshah",KE-ISN-202406-0089,2024-06,Isharpura Nawabshah,Rural Feeder,14,35.4,68.7,1230,Unpaid,Yes
Yasmin Soomro,"House #419, Street #36, Gareebabad Nawabshah",KE-GBN-202307-0034,2023-07,Gareebabad Nawabshah,Low-Income Residential Feeder,13.4,56.2,57.0,1680,Unpaid,No
Saba Jamali,"House #77, Block #32, Manwabad Nawabshah",KE-MWN-202508-0158,2025-08,Manwabad Nawabshah,Semi-Urban Feeder,8.5,76.9,118.9,2570,Unpaid,Yes
Sadia Jamali,"House #394, Mohalla #18, Gareebabad Nawabshah",KE-GBN-202303-0014,2023-03,Gareebabad Nawabshah,Low-Income Residential Feeder,7.2,53.8,54.6,1560,Unpaid,No
Zainab Bhutto,"House #399, Chowk #10, Society Colony Nawabshah",KE-SCN-202306-0026,2023-06,Society Colony Nawabshah,Urban Residential Feeder,3.1,106.1,111.1,3570,Paid,No
Kiran Abbasi,"House #150, Chowk #16, Farsi Bagh Nawabshah",KE-FBN-202410-0108,2024-10,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.4,134.8,134.4,4590,Paid,No
Sadia Rind,"House #143, Gali #49, Society Colony Nawabshah",KE-SCN-202312-0060,2023-12,Society Colony Nawabshah,Urban Residential Feeder,1.7,147.5,143.8,4170,Partially Paid,No
Bilal Bijarani,"House #232, Block #45, Manwabad Nawabshah",KE-MWN-202409-0104,2024-09,Manwabad Nawabshah,Semi-Urban Feeder,5.6,42.7,41.4,1280,Unpaid,No
Fahad Bhutto,"House #2, Block #15, Manwabad Nawabshah",KE-MWN-202408-0097,2024-08,Manwabad Nawabshah,Semi-Urban Feeder,9.7,73.7,77.2,2540,Partially Paid,No
Sikandar Chachar,"House #202, Road #14, Society Colony Nawabshah",KE-SCN-202501-0122,2025-01,Society Colony Nawabshah,Urban Residential Feeder,1.9,117.2,118.2,3940,Paid,No
Hina Khan,"House #405, Road #26, Society Colony Nawabshah",KE-SCN-202512-0177,2025-12,Society Colony Nawabshah,Urban Residential Feeder,3.5,63.4,63.5,1980,Unpaid,No
Waqas Abbasi,"House #248, Street #40, University Colony Nawabshah",KE-UCN-202510-0169,2025-10,University Colony Nawabshah,Urban Residential Feeder,4.3,152.9,158.7,4500,Paid,No
Fahad Jamali,"House #331, Lane #4, Gareebabad Nawabshah",KE-GBN-202404-0080,2024-04,Gareebabad Nawabshah,Low-Income Residential Feeder,7.4,37.8,38.3,1090,Unpaid,No
Sara Solangi,"House #48, Block #18, Isharpura Nawabshah",KE-ISN-202512-0180,2025-12,Isharpura Nawabshah,Rural Feeder,7.8,28.7,60.4,870,Partially Paid,Yes
Iqra Malik,"House #427, Road #15, Farsi Bagh Nawabshah",KE-FBN-202307-0034,2023-07,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.7,110.1,110.1,3120,Partially Paid,No
Salman Shah,"House #87, Road #38, Gareebabad Nawabshah",KE-GBN-202401-0065,2024-01,Gareebabad Nawabshah,Low-Income Residential Feeder,4.6,27.3,26.6,910,Partially Paid,No
Maryam Solangi,"House #234, Chowk #6, Isharpura Nawabshah",KE-ISN-202309-0043,2023-09,Isharpura Nawabshah,Rural Feeder,8.3,51.4,52.0,1580,Unpaid,No
Danish Sheikh,"House #407, Road #42, University Colony Nawabshah",KE-UCN-202502-0130,2025-02,University Colony Nawabshah,Urban Residential Feeder,3.6,115.7,119.2,3260,Paid,No
Rashid Pathan,"House #437, Gali #16, Gareebabad Nawabshah",KE-GBN-202502-0130,2025-02,Gareebabad Nawabshah,Low-Income Residential Feeder,8.0,52.0,52.2,1720,Unpaid,No
Rizwan Malik,"House #25, Lane #47, University Colony Nawabshah",KE-UCN-202511-0174,2025-11,University Colony Nawabshah,Urban Residential Feeder,2.4,84.7,84.3,2700,Paid,No
Abdul Chachar,"House #307, Gali #35, Manwabad Nawabshah",KE-MWN-202407-0095,2024-07,Manwabad Nawabshah,Semi-Urban Feeder,8.6,55.9,120.1,1750,Paid,Yes
Kamran Soomro,"House #195, Street #47, Gareebabad Nawabshah",KE-GBN-202312-0059,2023-12,Gareebabad Nawabshah,Low-Income Residential Feeder,6.6,50.3,108.6,1620,Paid,Yes
Arslan Abbasi,"House #379, Road #3, Manwabad Nawabshah",KE-MWN-202504-0138,2025-04,Manwabad Nawabshah,Semi-Urban Feeder,6.4,51.5,50.0,1570,Partially Paid,No
Yasir Bhurgri,"House #434, Mohalla #36, Gareebabad Nawabshah",KE-GBN-202307-0031,2023-07,Gareebabad Nawabshah,Low-Income Residential Feeder,9.4,68.9,67.7,2160,Paid,No
Shabana Mahar,"House #159, Chowk #3, Farsi Bagh Nawabshah",KE-FBN-202407-0092,2024-07,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.6,77.2,79.8,2630,Paid,No
Saleem Panhwar,"House #20, Block #46, Isharpura Nawabshah",KE-ISN-202506-0149,2025-06,Isharpura Nawabshah,Rural Feeder,11.4,33.1,33.5,1020,Partially Paid,No
Farah Mahar,"House #316, Mohalla #42, University Colony Nawabshah",KE-UCN-202504-0139,2025-04,University Colony Nawabshah,Urban Residential Feeder,2.8,100.9,105.8,3480,Paid,No
Asma Junejo,"House #222, Street #27, Society Colony Nawabshah",KE-SCN-202408-0099,2024-08,Society Colony Nawabshah,Urban Residential Feeder,3.6,117.5,121.0,3780,Partially Paid,No
Ahmed Baloch,"House #133, Mohalla #17, Society Colony Nawabshah",KE-SCN-202311-0052,2023-11,Society Colony Nawabshah,Urban Residential Feeder,3.8,95.2,97.2,3330,Unpaid,No
Bilal Jatoi,"House #290, Gali #37, Society Colony Nawabshah",KE-SCN-202506-0149,2025-06,Society Colony Nawabshah,Urban Residential Feeder,3.8,73.4,74.5,2340,Paid,No
Saba Qureshi,"House #413, Lane #45, University Colony Nawabshah",KE-UCN-202504-0137,2025-04,University Colony Nawabshah,Urban Residential Feeder,5.3,79.6,83.1,2650,Paid,No
Naveed Shah,"House #103, Lane #5, Farsi Bagh Nawabshah",KE-FBN-202409-0105,2024-09,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.5,122.7,126.4,3760,Paid,No
Robina Rind,"House #112, Gali #34, Society Colony Nawabshah",KE-SCN-202308-0040,2023-08,Society Colony Nawabshah,Urban Residential Feeder,6.3,112.8,117.6,3800,Paid,No
Ali Khaskheli,"House #274, Road #36, Gareebabad Nawabshah",KE-GBN-202508-0156,2025-08,Gareebabad Nawabshah,Low-Income Residential Feeder,13.0,66.1,68.9,2000,Paid,No
Naveed Sethar,"House #391, Road #25, Gareebabad Nawabshah",KE-GBN-202403-0073,2024-03,Gareebabad Nawabshah,Low-Income Residential Feeder,6.3,42.8,42.8,1340,Unpaid,No
Faisal Junejo,"House #389, Street #28, Isharpura Nawabshah",KE-ISN-202308-0037,2023-08,Isharpura Nawabshah,Rural Feeder,13.1,37.3,74.6,1110,Paid,Yes
Sohail Khaskheli,"House #160, Street #3, Society Colony Nawabshah",KE-SCN-202304-0016,2023-04,Society Colony Nawabshah,Urban Residential Feeder,3.6,76.1,76.6,2170,Paid,No
Sumaira Malik,"House #405, Gali #49, Farsi Bagh Nawabshah",KE-FBN-202501-0125,2025-01,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.0,109.0,112.5,3370,Paid,No
Salman Bhurgri,"House #379, Road #2, Isharpura Nawabshah",KE-ISN-202409-0103,2024-09,Isharpura Nawabshah,Rural Feeder,9.7,30.0,44.2,930,Unpaid,Yes
Bilal Panhwar,"House #264, Lane #46, Manwabad Nawabshah",KE-MWN-202410-0108,2024-10,Manwabad Nawabshah,Semi-Urban Feeder,4.2,73.9,127.6,2110,Paid,Yes
Naila Mahar,"House #40, Block #28, Farsi Bagh Nawabshah",KE-FBN-202306-0029,2023-06,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.8,167.5,163.8,5720,Paid,No
Yasir Bhurgri,"House #14, Road #43, Manwabad Nawabshah",KE-MWN-202303-0014,2023-03,Manwabad Nawabshah,Semi-Urban Feeder,4.3,72.9,74.9,2190,Paid,No
Sikandar Marri,"House #402, Lane #8, Society Colony Nawabshah",KE-SCN-202405-0084,2024-05,Society Colony Nawabshah,Urban Residential Feeder,4.7,90.0,92.9,2590,Paid,No
Ghulam Larik,"House #260, Road #25, Isharpura Nawabshah",KE-ISN-202301-0004,2023-01,Isharpura Nawabshah,Rural Feeder,8.3,52.8,53.1,1490,Paid,No
Zainab Rind,"House #117, Lane #9, Manwabad Nawabshah",KE-MWN-202408-0096,2024-08,Manwabad Nawabshah,Semi-Urban Feeder,7.1,78.7,77.2,2700,Paid,No
Imran Siddiqui,"House #268, Block #22, Isharpura Nawabshah",KE-ISN-202503-0134,2025-03,Isharpura Nawabshah,Rural Feeder,10.8,62.0,61.5,1930,Partially Paid,No
Owais Soomro,"House #170, Block #27, Society Colony Nawabshah",KE-SCN-202406-0089,2024-06,Society Colony Nawabshah,Urban Residential Feeder,2.8,120.5,122.8,3930,Unpaid,No
Sikandar Solangi,"House #139, Lane #36, Gareebabad Nawabshah",KE-GBN-202404-0077,2024-04,Gareebabad Nawabshah,Low-Income Residential Feeder,9.7,30.7,32.1,1000,Partially Paid,No
Imran Siddiqui,"House #51, Gali #3, Farsi Bagh Nawabshah",KE-FBN-202412-0116,2024-12,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.1,178.1,174.4,5450,Paid,No
Shoaib Ali,"House #150, Road #42, Gareebabad Nawabshah",KE-GBN-202504-0136,2025-04,Gareebabad Nawabshah,Low-Income Residential Feeder,9.3,71.1,71.2,2150,Paid,No
Sikandar Sheikh,"House #355, Mohalla #23, Manwabad Nawabshah",KE-MWN-202404-0076,2024-04,Manwabad Nawabshah,Semi-Urban Feeder,6.8,61.9,64.8,1990,Paid,No
Fatima Bhutto,"House #311, Gali #39, Farsi Bagh Nawabshah",KE-FBN-202502-0129,2025-02,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.3,159.0,165.4,5130,Paid,No
Waqas Bijarani,"House #233, Street #42, Farsi Bagh Nawabshah",KE-FBN-202504-0137,2025-04,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.8,136.3,137.8,4210,Paid,No
Abdul Ansari,"House #87, Chowk #6, Farsi Bagh Nawabshah",KE-FBN-202307-0032,2023-07,Farsi Bagh Nawabshah,Urban Commercial Feeder,4.2,158.5,209.5,5500,Paid,Yes
Muhammad Bijarani,"House #360, Road #2, Isharpura Nawabshah",KE-ISN-202401-0061,2024-01,Isharpura Nawabshah,Rural Feeder,6.8,26.9,28.1,920,Unpaid,No
Talha Abbasi,"House #74, Block #44, Society Colony Nawabshah",KE-SCN-202305-0021,2023-05,Society Colony Nawabshah,Urban Residential Feeder,3.1,87.3,87.0,2990,Paid,No
Naveed Abbasi,"House #403, Street #9, Farsi Bagh Nawabshah",KE-FBN-202506-0146,2025-06,Farsi Bagh Nawabshah,Urban Commercial Feeder,4.2,92.5,95.4,2600,Paid,No
Rizwan Khan,"House #376, Gali #39, Manwabad Nawabshah",KE-MWN-202302-0010,2023-02,Manwabad Nawabshah,Semi-Urban Feeder,5.0,88.2,90.8,2840,Paid,No
Umer Soomro,"House #351, Block #17, Gareebabad Nawabshah",KE-GBN-202308-0037,2023-08,Gareebabad Nawabshah,Low-Income Residential Feeder,12.5,44.3,44.8,1420,Paid,No
Asma Jatoi,"House #343, Street #6, Isharpura Nawabshah",KE-ISN-202304-0017,2023-04,Isharpura Nawabshah,Rural Feeder,12.3,38.1,38.4,1200,Paid,No
Amna Soomro,"House #328, Gali #32, Farsi Bagh Nawabshah",KE-FBN-202312-0058,2023-12,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.5,176.3,332.9,5220,Paid,Yes
Asma Bhutto,"House #97, Chowk #9, University Colony Nawabshah",KE-UCN-202402-0070,2024-02,University Colony Nawabshah,Urban Residential Feeder,2.2,97.3,98.2,3280,Paid,No
Faisal Larik,"House #157, Road #48, Farsi Bagh Nawabshah",KE-FBN-202511-0172,2025-11,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.2,73.3,75.1,2370,Paid,No
Yasir Larik,"House #358, Block #38, Manwabad Nawabshah",KE-MWN-202307-0032,2023-07,Manwabad Nawabshah,Semi-Urban Feeder,9.8,104.6,109.2,2950,Partially Paid,No
Shabana Chandio,"House #160, Chowk #35, Farsi Bagh Nawabshah",KE-FBN-202406-0088,2024-06,Farsi Bagh Nawabshah,Urban Commercial Feeder,5.4,92.8,92.7,3130,Paid,No
Naila Bijarani,"House #14, Mohalla #1, University Colony Nawabshah",KE-UCN-202511-0172,2025-11,University Colony Nawabshah,Urban Residential Feeder,4.2,167.1,171.6,4800,Paid,No
Mehwish Sheikh,"House #198, Block #27, University Colony Nawabshah",KE-UCN-202307-0034,2023-07,University Colony Nawabshah,Urban Residential Feeder,7.3,66.9,67.9,1980,Paid,No
Rashid Marri,"House #240, Street #40, Farsi Bagh Nawabshah",KE-FBN-202402-0068,2024-02,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.0,160.1,163.5,5520,Unpaid,No
Muhammad Chandio,"House #108, Road #4, Society Colony Nawabshah",KE-SCN-202302-0006,2023-02,Society Colony Nawabshah,Urban Residential Feeder,2.7,71.5,71.3,2340,Paid,No
Saleem Shah,"House #146, Mohalla #30, University Colony Nawabshah",KE-UCN-202510-0166,2025-10,University Colony Nawabshah,Urban Residential Feeder,3.1,113.5,117.5,3190,Paid,No
Saba Pathan,"House #277, Gali #18, University Colony Nawabshah",KE-UCN-202306-0027,2023-06,University Colony Nawabshah,Urban Residential Feeder,4.5,147.2,153.9,4130,Unpaid,No
Sobia Rajput,"House #368, Gali #35, Gareebabad Nawabshah",KE-GBN-202309-0044,2023-09,Gareebabad Nawabshah,Low-Income Residential Feeder,10.5,66.5,65.2,1910,Paid,No
Rizwan Sethar,"House #431, Lane #5, Gareebabad Nawabshah",KE-GBN-202406-0088,2024-06,Gareebabad Nawabshah,Low-Income Residential Feeder,9.9,41.6,41.9,1170,Unpaid,No
Kiran Ali,"House #421, Road #42, Isharpura Nawabshah",KE-ISN-202506-0148,2025-06,Isharpura Nawabshah,Rural Feeder,14,55.1,56.5,1900,Paid,No
Iqra Sheikh,"House #287, Street #15, Gareebabad Nawabshah",KE-GBN-202412-0119,2024-12,Gareebabad Nawabshah,Low-Income Residential Feeder,6.5,35.5,62.8,1060,Unpaid,Yes
Nida Rajput,"House #272, Road #20, Society Colony Nawabshah",KE-SCN-202402-0067,2024-02,Society Colony Nawabshah,Urban Residential Feeder,2.3,80.9,80.8,2470,Partially Paid,No
Bushra Sethar,"House #243, Street #6, Farsi Bagh Nawabshah",KE-FBN-202401-0063,2024-01,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.7,152.9,154.4,5270,Paid,No
